NS 100
ROOT 0122
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0124
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0168
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0188
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0221
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0223
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0225
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0229
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0238
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0258
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0278
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0298
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0302
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0304
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0311
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0315
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0319
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0331
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0335
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0337
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0355
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0357
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0359
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0364
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0366
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0382
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0386
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0391
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0397
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0399
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0401
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0403
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0405
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0407
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0412
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0416
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0418
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0421
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0423
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0425
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0427
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0452
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0456
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0458
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0461
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0463
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0465
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0467
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0472
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0476
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0478
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0492
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0496
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0498
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0629
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0632
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0634
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0638
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0669
UHF 2,-3,8,-8
LHF 6,-8,0,-6
PHF -9,5,1,-7
ROOT 0689
