NS 100
ROOT 0037
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0048
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0073
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0084
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0136
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0138
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0145
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0154
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0163
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0183
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0215
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0217
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0226
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0251
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0259
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0262
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0271
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0279
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0295
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0297
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0338
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0358
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0367
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0376
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0378
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0383
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0385
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0387
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0538
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0547
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0574
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0583
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0648
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0684
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0747
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0774
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0837
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 0873
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1205
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1207
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1250
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1269
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1270
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1296
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1357
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1368
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1375
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1386
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1438
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1447
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1474
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 1483
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2206
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2259
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2260
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2279
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2295
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2297
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2358
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2367
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2376
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2378
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2385
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2387
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2437
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2448
UHF -7,9,-7,-7
LHF 0,-4,-1,-1
PHF -9,4,2,-8
ROOT 2473
