NS 100
ROOT 3800
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 6706
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 3840
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 9066
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 1691
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 6137
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 3831
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 7844
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 0379
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 2700
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 2720
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 4944
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 2931
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 2702
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 6366
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 7817
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 9268
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 6944
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 4922
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 9837
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 6366
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 9699
UHF 8,2,-5,2
LHF -6,-8,1,-9
PHF -8,8,5,-8
ROOT 5824
