NS 240
ROOT 0129
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0136
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0149
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0169
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0332
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0338
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0345
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0349
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0352
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0358
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0365
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0369
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0725
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0729
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0732
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0736
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0745
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0749
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0752
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0756
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0925
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0945
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0958
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 0965
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1036
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1056
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1069
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1076
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1230
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1247
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1250
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1270
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1443
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1449
UHF 1,-7,4,0
LHF -8,0,-7,5
PHF 0,4,-5,-5
ROOT 1450
UHF 1,-7,4,0
LHF -8,0,-7,5
