NS 240
ROOT 0122
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0162
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0182
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0193
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0311
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0344
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0371
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0384
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0520
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0533
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0560
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0593
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0711
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0722
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0742
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0782
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0931
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0933
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0940
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0944
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0960
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0964
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0971
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 0973
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1042
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1044
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1051
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1055
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1071
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1075
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1082
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1084
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1204
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1233
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1273
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1293
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1422
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1455
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1482
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1495
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1604
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1631
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1644
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1671
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1822
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1833
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1853
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 1893
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2153
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2155
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2162
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2166
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2182
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2186
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2193
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2195
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2304
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2315
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2344
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2384
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2506
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2533
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2566
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2593
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2715
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2742
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2755
UHF -9,-7,-9,6
LHF 4,0,-1,3
PHF 3,7,3,-2
ROOT 2782
UHF -9,-7,-9,6
