NS 89
ROOT 8650
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2393
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4395
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6672
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7648
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3262
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6759
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6670
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4258
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7648
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3347
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2373
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 9648
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2379
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 9783
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4371
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4270
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2250
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5381
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5284
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 0751
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6692
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5347
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5268
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5268
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5383
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 0759
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2395
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 8751
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7783
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7660
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 8771
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2373
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5369
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2250
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2270
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 1282
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5349
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5369
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4258
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2371
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4270
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2270
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6757
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2373
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6773
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7640
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5268
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 1268
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3282
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 8771
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3282
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 8759
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 1260
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2379
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6650
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 9781
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 0759
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7761
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 1268
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 9781
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7783
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3284
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3369
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 7640
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2258
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6670
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3347
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3260
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4250
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 3349
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 9640
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 9761
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 8692
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 4258
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2371
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 6694
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 2395
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 5347
UHF -6,8,-4,-1
LHF 4,0,2,-2
PHF 7,8,3,3
ROOT 1262
