NS 360
ROOT 0017
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0033
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0035
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0039
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0057
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0097
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0116
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0121
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0123
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0125
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0129
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0156
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0176
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0196
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0220
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0222
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0266
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0286
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0428
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0446
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0518
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0545
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0927
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0932
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0936
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0938
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0947
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 0987
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 1007
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 1030
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 1032
UHF -1,-9,-1,5
LHF -4,-3,3,7
PHF -6,-4,7,-3
ROOT 1034
UHF -1,-9,-1,5
